Country,Year,Scheme Type,Scheme Name,Number of Scrips,Number of Authorization,Value of Scrips (Rs. Crore),Free on Board (FOB) value of Exports (Rs .Crore),"Cost, Insurance and Freight (CIF) Value of Imports (Rs .Crore)",Duty Forgone (Rs. Crore)
India,2014-15,Reward / Incentive Schemes,Focus Market Scheme,1041.0,,108.04,3023.56,,
India,2014-15,Reward / Incentive Schemes,Incre Export Incentivisation Scheme,55.0,,14.57,,,
India,2014-15,Reward / Incentive Schemes,Merchandise Exports from India (MEIS),,,,,,
India,2014-15,Reward / Incentive Schemes,Service Exports from India (SEIS),,,,,,
India,2014-15,Reward / Incentive Schemes,Served From India Scheme,153.0,,77.3,,,
India,2014-15,Reward / Incentive Schemes,Status Holder Incentive Scrip,50.0,,30.76,,,
India,2014-15,Reward / Incentive Schemes,Vishesh Krishi & Gram Udyog Yojana,1249.0,,218.43,4408.72,,
India,2014-15,Reward / Incentive Schemes,Focus Product Scheme,5975.0,,479.0,19961.42,,
India,2014-15,Duty Neutralisation Scheme,Duty Entitlement Passbook (DEPB)-Post Exports,5.0,,0.08,1.59,,
India,2014-15,Duty Remission Scheme,Export Promotion Capital Goods (EPCG),,1058.0,,3501.11,,608.47
India,2014-15,Duty Remission Scheme,Duty Free Import Authorization,,108.0,,22100.62,21652.99,
India,2014-15,Duty Remission Scheme,Advance Authorization,,1679.0,,12194.08,8202.11,
India,2014-15,,Replenishment License (Gem & Jewellery),,0.0,,0.0,0.0,
India,2014-15,A,Import Lic for Restricted Items,,46.0,,,3070.96,
India,2014-15,B,Export Lic for Restricted Items,,33.0,,22.0,,
India,2015-16,Reward / Incentive Schemes,Focus Market Scheme,676.0,,81.67,2302.24,,
India,2015-16,Reward / Incentive Schemes,Focus Product Scheme,3570.0,,254.78,10233.87,,
India,2015-16,Reward / Incentive Schemes,Incre Export Incentivisation Scheme,25.0,,7.94,,,
India,2015-16,Reward / Incentive Schemes,Merchandise Exports from India (MEIS),502.0,,60.13,2242.3,,
India,2015-16,Reward / Incentive Schemes,Vishesh Krishi & Gram Udyog Yojana,704.0,,118.93,2402.35,,
India,2015-16,Reward / Incentive Schemes,Service Exports from India (SEIS),0.0,,0.0,0.0,,
India,2015-16,Reward / Incentive Schemes,Served From India Scheme,23.0,,18.25,,,
India,2015-16,Reward / Incentive Schemes,Status Holder Incentive Scrip,14.0,,10.54,,,
India,2015-16,Duty Neutralisation Scheme,Duty Entitlement Passbook (DEPB)-Post Exports,5.0,,0.12,2.2,,
India,2015-16,Duty Remission Scheme,Export Promotion Capital Goods (EPCG),,962.0,,2331.51,,385.87
India,2015-16,Duty Remission Scheme,Duty Free Import Authorization,,0.0,,0.0,0.0,
India,2015-16,Duty Remission Scheme,Advance Authorization,,1410.0,,42194.28,39208.71,
India,2015-16,,Replenishment License (Gem & Jewellery),,0.0,,0.0,0.0,
India,2015-16,A,Import Lic for Restricted Items,,46.0,,,3286.72,
India,2015-16,B,Export Lic for Restricted Items,,49.0,,177.6,,
India,2016-17,Reward / Incentive Schemes,Status Holder Incentive Scrip,7.0,,3.94,,,
India,2016-17,Reward / Incentive Schemes,Focus Product Scheme,1478.0,,96.74,4356.48,,
India,2016-17,Reward / Incentive Schemes,Incre Export Incentivisation Scheme,17.0,,8.22,,,
India,2016-17,Reward / Incentive Schemes,Merchandise Exports from India (MEIS),5357.0,,602.84,23325.89,,
India,2016-17,Reward / Incentive Schemes,Served From India Scheme,66.0,,45.7,,,
India,2016-17,Reward / Incentive Schemes,Service Exports from India (SEIS),30.0,,7.38,1002.75,,
India,2016-17,Reward / Incentive Schemes,Focus Market Scheme,398.0,,24.43,713.28,,
India,2016-17,Reward / Incentive Schemes,Vishesh Krishi & Gram Udyog Yojana,150.0,,11.76,238.34,,
India,2016-17,Duty Neutralisation Scheme,Duty Entitlement Passbook (DEPB)-Post Exports,4.0,,0.07,1.33,,
India,2016-17,Duty Remission Scheme,Advance Authorization,,1594.0,,54206.86,50035.24,
India,2016-17,Duty Remission Scheme,Export Promotion Capital Goods (EPCG),,1088.0,,3906.98,,595.72
India,2016-17,Duty Remission Scheme,Duty Free Import Authorization,,9.0,,47.74,29.23,
India,2016-17,,Replenishment License (Gem & Jewellery),,0.0,,0.0,0.0,
India,2016-17,A,Import Lic for Restricted Items,,28.0,,,688.96,
India,2016-17,B,Export Lic for Restricted Items,,34.0,,71.61,,
India,2017-18,Reward / Incentive Schemes,Incre Export Incentivisation Scheme,13.0,,4.53,,,
India,2017-18,Reward / Incentive Schemes,Merchandise Exports from India (MEIS),8848.0,,993.42,38302.38,,
India,2017-18,Reward / Incentive Schemes,Served From India Scheme,29.0,,28.12,,,
India,2017-18,Reward / Incentive Schemes,Service Exports from India (SEIS),142.0,,73.0,5007.69,,
India,2017-18,Reward / Incentive Schemes,Vishesh Krishi & Gram Udyog Yojana,26.0,,0.98,20.16,,
India,2017-18,Reward / Incentive Schemes,Status Holder Incentive Scrip,2.0,,0.77,,,
India,2017-18,Reward / Incentive Schemes,Focus Product Scheme,313.0,,16.86,714.6,,
India,2017-18,Reward / Incentive Schemes,Focus Market Scheme,46.0,,2.69,83.76,,
India,2017-18,Duty Neutralisation Scheme,Duty Entitlement Passbook (DEPB)-Post Exports,0.0,,0.0,0.0,,
India,2017-18,Duty Remission Scheme,Export Promotion Capital Goods (EPCG),,1021.0,,3221.58,,531.84
India,2017-18,Duty Remission Scheme,Advance Authorization,,1574.0,,22121.24,18214.37,
India,2017-18,Duty Remission Scheme,Duty Free Import Authorization,,32.0,,102.74,68.18,
India,2017-18,,Replenishment License (Gem & Jewellery),,0.0,,0.0,0.0,
India,2017-18,A,Import Lic for Restricted Items,,57.0,,,4411.53,
India,2017-18,B,Export Lic for Restricted Items,,48.0,,158.93,,
India,2018-19,Reward / Incentive Schemes,Served From India Scheme,13.0,,7.99,,,
India,2018-19,Reward / Incentive Schemes,Vishesh Krishi & Gram Udyog Yojana,6.0,,0.29,7.07,,
India,2018-19,Reward / Incentive Schemes,Incre Export Incentivisation Scheme,5.0,,2.16,,,
India,2018-19,Reward / Incentive Schemes,Service Exports from India (SEIS),306.0,,281.81,17817.36,,
India,2018-19,Reward / Incentive Schemes,Status Holder Incentive Scrip,1.0,,2.2,,,
India,2018-19,Reward / Incentive Schemes,Focus Market Scheme,16.0,,2.31,75.8,,
India,2018-19,Reward / Incentive Schemes,Focus Product Scheme,207.0,,23.42,651.55,,
India,2018-19,Reward / Incentive Schemes,Merchandise Exports from India (MEIS),12474.0,,1523.68,48919.33,,
India,2018-19,Duty Neutralisation Scheme,Duty Entitlement Passbook (DEPB)-Post Exports,0.0,,0.0,0.0,,
India,2018-19,Duty Remission Scheme,Advance Authorization,,1601.0,,15220.39,10441.6,
India,2018-19,Duty Remission Scheme,Duty Free Import Authorization,,43.0,,206.36,155.6,
India,2018-19,Duty Remission Scheme,Export Promotion Capital Goods (EPCG),,911.0,,10188.0,,1753.42
India,2018-19,,Replenishment License (Gem & Jewellery),,0.0,,0.0,0.0,
India,2018-19,A,Import Lic for Restricted Items,,35.0,,,1768.66,
India,2018-19,B,Export Lic for Restricted Items,,16.0,,191.54,,
India,2019-20,Reward / Incentive Schemes,Focus Market Scheme,6.0,,0.14,3.84,,
India,2019-20,Reward / Incentive Schemes,Service Exports from India (SEIS),404.0,,303.14,16356.16,,
India,2019-20,Reward / Incentive Schemes,Status Holder Incentive Scrip,1.0,,0.11,,,
India,2019-20,Reward / Incentive Schemes,Merchandise Exports from India (MEIS),12959.0,,1641.97,51585.76,,
India,2019-20,Reward / Incentive Schemes,Incre Export Incentivisation Scheme,3.0,,1.05,,,
India,2019-20,Reward / Incentive Schemes,Vishesh Krishi & Gram Udyog Yojana,1.0,,0.05,1.31,,
India,2019-20,Reward / Incentive Schemes,Focus Product Scheme,27.0,,1.24,54.94,,
India,2019-20,Reward / Incentive Schemes,Served From India Scheme,4.0,,8.03,,,
India,2019-20,Duty Neutralisation Scheme,Duty Entitlement Passbook (DEPB)-Post Exports,0.0,,0.0,0.0,,
India,2019-20,Duty Remission Scheme,Advance Authorization,,1543.0,,17419.46,11050.17,
India,2019-20,Duty Remission Scheme,Duty Free Import Authorization,,27.0,,206.23,162.27,
India,2019-20,Duty Remission Scheme,Export Promotion Capital Goods (EPCG),,803.0,,4236.12,,901.34
India,2019-20,,Replenishment License (Gem & Jewellery),,0.0,,0.0,0.0,
India,2019-20,A,Import Lic for Restricted Items,,198.0,,,1731.97,
India,2019-20,B,Export Lic for Restricted Items,,4.0,,1.17,,
India,2020-21,Reward / Incentive Schemes,Vishesh Krishi & Gram Udyog Yojana,2.0,,0.22,5.05,,
India,2020-21,Reward / Incentive Schemes,Status Holder Incentive Scrip,0.0,,0.0,,,
India,2020-21,Reward / Incentive Schemes,Service Exports from India (SEIS),168.0,,127.06,9359.99,,
India,2020-21,Reward / Incentive Schemes,Focus Market Scheme,2.0,,0.1,2.94,,
India,2020-21,Reward / Incentive Schemes,Focus Product Scheme,6.0,,0.36,20.17,,
India,2020-21,Reward / Incentive Schemes,Merchandise Exports from India (MEIS),5760.0,,663.24,23882.87,,
India,2020-21,Reward / Incentive Schemes,Served From India Scheme,0.0,,0.0,,,
India,2020-21,Reward / Incentive Schemes,Incre Export Incentivisation Scheme,5.0,,2.14,,,
India,2020-21,Duty Neutralisation Scheme,Duty Entitlement Passbook (DEPB)-Post Exports,0.0,,0.0,0.0,,
India,2020-21,Duty Remission Scheme,Advance Authorization,,1540.0,,16711.81,11965.11,
India,2020-21,Duty Remission Scheme,Export Promotion Capital Goods (EPCG),,555.0,,4109.88,,695.25
India,2020-21,Duty Remission Scheme,Duty Free Import Authorization,,38.0,,207.36,161.08,
India,2020-21,,Replenishment License (Gem & Jewellery),,0.0,,0.0,0.0,
India,2020-21,A,Import Lic for Restricted Items,,252.0,,,3019.13,
India,2020-21,B,Export Lic for Restricted Items,,0.0,,0.0,,
India,2021-22,Reward / Incentive Schemes,Served From India Scheme,0,,0.00,,,
India,2021-22,Reward / Incentive Schemes,Focus Market Scheme,0,,0.00,0.00,,
India,2021-22,Reward / Incentive Schemes,Vishesh Krishi & Gram Udyog Yojana,0,,0.00,0.00,,
India,2021-22,Reward / Incentive Schemes,Focus Product Scheme,118,,21.84,561.73,,
India,2021-22,Reward / Incentive Schemes,Incre Export Incentivisation Scheme,0,,0.00,,,
India,2021-22,Reward / Incentive Schemes,Status Holder Incentive Scrip,0,,0.00,,,
India,2021-22,Reward / Incentive Schemes,Merchandise Exports from India (MEIS),8591,,933.32,35037.40,,
India,2021-22,Reward / Incentive Schemes,Service Exports from India (SEIS),217,,195.14,6239.49,,
India,2021-22,Duty Neutralisation Scheme,Duty Entitlement Passbook (DEPB)-Post Exports,0,,0,0,,
India,2021-22,Duty Remission Scheme,Export Promotion Capital Goods (EPCG),,623,,5521.94,,951.31
India,2021-22,Duty Remission Scheme,Advance Authorization,,1730,,21500.49,15911.30,
India,2021-22,Duty Remission Scheme,Duty Free Import Authorization,,44,,198.36,159.17,
India,2021-22,,Replenishment License (Gem & Jewellery),,0,,0.00,0.00,
India,2021-22,A,Import Lic for Restricted Items,,0,,,0.00,
India,2021-22,B,Export Lic for Restricted Items,,0,,0.00,,
